,User,Tweet,Location,Retweet Count,Date
0,pallaviaswal,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,Delhi,6,2020-06-12 16:29:49
1,BharatGundagoni,"Today video conference of Bjym Nizambad Dist,addressed by Sri.Dugyala pradeep garu @BJP4Telangana @bandisanjay_bjp… https://t.co/8T2lewBadY","Hyderabad, India",0,2020-06-12 16:29:15
2,AjayPandey__,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","New Delhi, India",37,2020-06-12 16:22:30
3,ManojGoelBJP,Creating short-term job opportunities for #migrants based on their skills will be one of the key focuses of Prime M… https://t.co/J145btAmzL,"New Delhi, India",0,2020-06-12 16:20:23
4,delhi_iihm,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,,6,2020-06-12 16:19:16
5,Manish82saxena,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,,6,2020-06-12 16:17:46
6,Harshallkumar,"RT @Sepc_India: #Exports on a rapid Turnaround:
Reformative governance of PM @narendramodi ji pushes exports in the 1st week of June to bou…",,2,2020-06-12 16:17:06
7,Miss__Indian,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",Hell💔,37,2020-06-12 16:15:48
8,amitkau,@TheMetroRailGuy @TVMohandasPai No China 🇨🇳 please! Next Indian bidder to be allocated with optimised cost #AtmanirbharBharatAbhiyan,"Mumbai, India 🇮🇳 ",0,2020-06-12 16:14:56
9,SsunitaSharma,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,"New Delhi, Delhi",6,2020-06-12 16:11:57
10,chefAjayPanwar,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,,6,2020-06-12 16:11:56
11,shubhamchauhn,"""Maid in India"" is more important than ""Made in India"".
#AtmaNirbharBharatAbhiyan","New Delhi, India",0,2020-06-12 16:11:55
12,godmoonvaibhav,RT @Swapnil10624964: I request these Indian mobile companies to avoid making too many phones and make 1 or 2 decent phones with affordable…,Rendal,1,2020-06-12 16:10:57
13,sknatesan,@QCI_NBQP @PiyushGoyal @PMOIndia @CimGOI @DoC_GoI @DIPPGOI @QualityCouncil @GeM_India @EconomicTimes… https://t.co/0fDxkgtlTh,"Salem, Tamilnadu, India",0,2020-06-12 16:10:18
14,RamitKumarThak2,RT @sanjeevhooda26: @IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute #supporting #…,"नई दिल्ली, भारत",6,2020-06-12 16:09:14
15,minad286,"If this could happen at that time, are we #Atmanirbhar enough to do this now? #AtmanirbharBharatAbhiyan and make Bh… https://t.co/PABPpy6Vip","New York, USA",0,2020-06-12 16:07:36
16,sanjeevhooda26,@IIHMHOTELSCHOOL Launched #SAHAS World's first #entrepreneurs initiative by an Hotel management Institute… https://t.co/j7gBCEdTxo,,6,2020-06-12 16:06:51
17,Navneet61494637,RT @DARKMATTER1008: Indian cow breeds produce A2(Beta-Casein Protein)milk which is considered vastly superior to A1(B-C Protein)milk produc…,,26,2020-06-12 16:00:19
18,DeepaliGovekar,"RT @jaiprakashshah2: Where world economy is and will be in worst position if Indian economy grows in next fiscal year 9.5% 
It will be poss…",,40,2020-06-12 15:57:38
19,DoC_GoI,"RT @Sepc_India: #Exports on a rapid Turnaround:
Reformative governance of PM @narendramodi ji pushes exports in the 1st week of June to bou…",New Delhi,2,2020-06-12 15:55:28
20,krao7766,This is the power of our country @realDonaldTrump and our Ayurveda and our #AtmanirbharBharatAbhiyan… https://t.co/yNyCwFtUZi,,0,2020-06-12 15:50:52
21,NagpurKaRajini,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan",Mars ,10,2020-06-12 15:43:27
22,FreeVoice__News,"FLASH
#JKUT Update
#AtmanirbharBharatAbhiyan https://t.co/7h9K5EzjYJ","Jammu, Jammu And Kashmir",0,2020-06-12 15:38:50
23,pk_phalu99,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan","Ahmadabad City, India",10,2020-06-12 15:38:31
24,manojkumarhosm1,"RT @sharma102020: @ARUNKUMARDE7 Hello Sir, Employees of the company continuously requesting @TheOfficialSBI  to #savegujaratnre. Also hopin…",,3,2020-06-12 15:31:44
25,bhartiye_komal,We Indian are treating Chinese app as an escape goat to show support to idea of #AtmanirbharBharatAbhiyan by modi a… https://t.co/9GbQCEdtuM,"रामपुर, भारत",0,2020-06-12 15:26:25
26,imabhimanyu123,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan","New Ashok Nagar, New Delhi",10,2020-06-12 15:21:39
27,bhagyashree986,"In between people started learning,  making puri, naan, kulcha 🤪😳

#Atmanirbhar #AtmaNirbharBharat… https://t.co/Kg82pz5uMR","Bangalore, India",0,2020-06-12 15:12:43
28,iShashwatShiva,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 15:06:35
29,AlokNathShaw1,@IamRiteshTiwari @narendramodi PM Modiji has started the second innings with a clear concept to build… https://t.co/Oh9wBjGF30,,0,2020-06-12 15:05:04
30,Swapnil10624964,I request these Indian mobile companies to avoid making too many phones and make 1 or 2 decent phones with affordab… https://t.co/a7VHkqSf3c,,1,2020-06-12 14:47:53
31,dnr_india,"#present to you, #IndianRailways
One of the powerful loco engine, 12000HP, #MadeInIndia
#AtmanirbharBharatAbhiyan… https://t.co/44GFMWrLC2","Bhopal, India",0,2020-06-12 14:46:15
32,amit9586592344,"RT @sharma102020: @ARUNKUMARDE7 Hello Sir, Employees of the company continuously requesting @TheOfficialSBI  to #savegujaratnre. Also hopin…",,3,2020-06-12 14:45:54
33,Kalpana04331816,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 14:44:59
34,GKachhetiya,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","गुजरात, भारत",37,2020-06-12 14:43:23
35,globaljagat,"Wonderful info sharing on Atmabirbhar Bharat, Self reliant India by Team Global Network, Deval Desai &amp; Harini Pandi… https://t.co/IEO28b9ln5","Ahmedabad, India",0,2020-06-12 14:43:08
36,Viraj24946483,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 14:36:22
37,MohanBubna,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","Kolkata, India",37,2020-06-12 14:34:43
38,Ateev_Anand,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",जोहन की चाय की टपरी से राइट ,37,2020-06-12 14:28:10
39,naidu_rajgopal,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan","Maharashtra, India",10,2020-06-12 14:27:45
